danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.475,0.138,-17.099,0.0424,0.965,0.884,0.0971,0.123,118.338,1nsMASRDWwUwlBMmOuh80d,236785
0.508,0.126,-18.687,0.0422,0.947,0.902,0.366,0.095,117.126,1POSSxzIB7fLcHDDfbmjDZ,273124
0.415,0.148,-19.697,0.0355,0.988,0.958,0.129,0.303,54.914,4eaogpCx2UNkKylwlDNGJ7,152696
0.348,0.159,-18.122,0.0339,0.978,0.973,0.112,0.29,106.682,7xi4NE5HjjIU4sjk2OP466,220879
0.255,0.0745,-19.79,0.0395,0.863,0.128,0.133,0.179,75.936,26UQyr3L71oAnXQIJf18gr,178250
0.422,0.196,-19.409,0.0371,0.979,0.931,0.101,0.148,110.754,2HriYFonV6QkhctkB8DMxY,215085
0.568,0.143,-16.994,0.0381,0.964,0.864,0.0962,0.126,105.323,0QPlQSzKFeCaUUsTKI5l3H,226611
0.538,0.14,-17.368,0.0393,0.937,0.893,0.324,0.195,86.259,6HZgxhesyOy8jkTiAFfQmR,160919
0.466,0.0718,-19.581,0.0336,0.922,0.916,0.11,0.214,105.252,3wMe1lySKxJeH9iMWXDqgx,195276
0.454,0.144,-15.696,0.0396,0.966,0.895,0.247,0.0977,122.556,3HBNf1kBZB3Sn4idl26aJK,133420
0.453,0.203,-14.187,0.0362,0.976,0.904,0.116,0.197,111.662,4W4PZdDzTUa06u4iXCKRxI,146021
0.362,0.17,-18.193,0.0338,0.936,0.879,0.109,0.156,107.442,6vtzBYf1I2Ozsdp94A2t5i,291320
0.46,0.215,-14.197,0.0371,0.932,0.828,0.11,0.211,124.691,3al4xzBnTjTpcnZsfRiE0y,169612
0.454,0.17,-18.568,0.0322,0.981,0.9,0.116,0.22,107.067,0Gyu7ttkfam04VeAgZEB3c,152100
0.599,0.0926,-21.799,0.0434,0.949,0.94,0.107,0.117,115.265,08WnE2pJN9r7WirMgSFlJf,216174
0.455,0.26,-14.579,0.0385,0.973,0.946,0.26,0.204,126.156,3JtvojpnCGBLdalXoPpw4l,194229
0.55,0.151,-17.517,0.0347,0.97,0.865,0.111,0.106,114.926,2EAg1quHmyj5wGPEONM5KL,280419
0.459,0.265,-14.701,0.0406,0.952,0.867,0.187,0.13,120.819,2pcDGklI3mOVMZrvnUF2t5,269603
0.565,0.239,-16.679,0.0418,0.96,0.894,0.149,0.231,116.419,4zYPDHYsvTdUMMy8gRkBAA,140648
0.503,0.149,-18.103,0.0409,0.985,0.889,0.0818,0.173,115.739,7MTAzNGDR2oen6dmPKxI3C,213836
0.27,0.188,-17.253,0.0404,0.978,0.97,0.109,0.085,72.774,3MDq3Y1Me06yoYQOfjNWcH,167071
0.483,0.167,-14.758,0.0341,0.936,0.9,0.0863,0.169,96.578,1D1E8UfZDUk0FZ2ZhlW1OF,204301
0.335,0.203,-16.864,0.0331,0.948,0.94,0.201,0.202,173.515,33sW1w6GqKgSolhokSdhpd,153061
0.445,0.21,-17.007,0.034,0.969,0.973,0.101,0.182,53.05,01PueBjWRvJTwWwuClGbEp,188461
0.378,0.17,-19.314,0.0357,0.958,0.918,0.118,0.135,138.095,4a1J9yup472zZW604BHbha,193237
0.483,0.192,-18.021,0.0368,0.904,0.839,0.0763,0.0714,110.554,6GqR4kbLTMfwJ2hFDZclMv,179233
0.526,0.131,-17.461,0.0368,0.947,0.853,0.349,0.176,112.949,3CpRRIHLxKHSBSvnCgGeD1,260541
0.376,0.0945,-21.011,0.0346,0.944,0.933,0.142,0.14,101.631,7FMsiew09v6ICDI5MU1Jc5,210508
0.401,0.156,-16.993,0.0473,0.967,0.881,0.121,0.198,117.411,0jXPKgpfyYXEWNHVBSCJ4P,271128
0.425,0.219,-14.817,0.0397,0.981,0.972,0.202,0.229,123.47,7r5XG6Ko5PsiSext5v0vyO,232510
0.553,0.121,-15.262,0.0445,0.936,0.418,0.0956,0.172,114.29,1Eh0sGvTxDYx13pE2PBpEn,204084
0.434,0.126,-16.053,0.0363,0.967,0.755,0.11,0.226,53.58,2EhrFpsVC4rkiCf86AeVdv,183947
0.587,0.127,-19.523,0.0375,0.952,0.864,0.103,0.19,109.944,4jZOeSzfXYIBJszABDdba0,190909
0.491,0.168,-19.009,0.0391,0.878,0.799,0.0901,0.226,134.011,5lKkgKB4yZ6BW0Aps1CKcL,153287
0.538,0.161,-15.046,0.0518,0.982,0.296,0.291,0.21,121.574,1WmWY8MVCl3iPZ4u1k9sLa,196500
0.473,0.132,-19.769,0.0408,0.946,0.837,0.129,0.234,121.07,5HP9LwDRT5FGOokrN1HnZ3,198333
0.505,0.158,-18.637,0.0379,0.969,0.908,0.0635,0.222,107.004,4QJ4UWKHSgqPEofSerNqZI,252154
0.334,0.193,-18.841,0.0351,0.985,0.966,0.229,0.093,107.149,1ImSQqQnC1UmJaKtT3GfEp,191875
0.488,0.134,-17.904,0.0327,0.76,0.219,0.0826,0.0507,112.892,06henIQqvVk2vAKj1yQtTp,262708
0.407,0.16,-16.154,0.0396,0.917,0.847,0.0987,0.311,181.968,57fCbbjLiWUYa0TS8oMIDq,164093
0.314,0.146,-19.282,0.033,0.972,0.926,0.153,0.114,88.282,11Ya486KvEdIaYgsT8cwsw,213037
0.491,0.101,-19.255,0.0313,0.919,0.42,0.0975,0.147,88.182,5GuytCR8JGCn90ReWuhYvL,175745
0.426,0.137,-19.003,0.033,0.956,0.928,0.122,0.379,55.641,4Y27hhN8JYQnD4XPnqlZsU,211672
0.55,0.11,-17.788,0.0309,0.894,0.803,0.106,0.132,100.361,2s499EvGIk8gVUGLCyftFX,151543
0.428,0.149,-16.993,0.037,0.921,0.874,0.099,0.0555,113.258,7xTuJi4PK5ujPuf0g19oII,269030
0.527,0.126,-18.413,0.0323,0.954,0.697,0.117,0.068,88.905,1BJmiWUEqMx2aqHqfIbeAQ,184186
0.529,0.147,-17.834,0.0442,0.973,0.936,0.35,0.0665,114.08,3FFYuymUtI8DihGhLMHggW,284439
0.519,0.119,-20.433,0.0342,0.876,0.801,0.109,0.166,67.601,1EXAQhTMCX9HCIcwYEvdxX,240480
0.507,0.081,-18.528,0.0338,0.906,0.955,0.108,0.202,59.191,05fdpG9n1YmQU1wOTCLaj8,170677
0.491,0.175,-15.783,0.043,0.955,0.887,0.112,0.193,118.264,3zkcVHhBj6hkbyE0G5xHfM,273178
0.548,0.145,-18.016,0.0352,0.963,0.933,0.107,0.159,68.209,12SBeS47Z8b1N6FqbfXhL7,233592
0.364,0.187,-18.971,0.0329,0.979,0.915,0.0832,0.0902,81.968,08G11yzcwoMuJrUy4ucLge,228739
0.382,0.155,-17.956,0.0366,0.984,0.944,0.195,0.239,117.596,7Cmp85HSefyHtULmgajybL,211672
0.615,0.186,-16.086,0.0494,0.96,0.888,0.351,0.195,119.409,0zs9711xhfumwBgJek5UHN,209408
0.547,0.193,-15.336,0.0386,0.953,0.735,0.191,0.221,129.09,5lk6Ro1xDJJyKAqjWd78JG,145029
0.334,0.157,-18.238,0.0349,0.93,0.905,0.158,0.203,173.995,2Y79E6uTFHlZWhF6m2tYyO,144573
0.471,0.166,-15.344,0.0339,0.858,0.885,0.121,0.0873,63.51,5PQXmu4gJHZDY5ORO4xoc8,174575
0.474,0.19,-16.562,0.0334,0.963,0.852,0.0953,0.082,67.561,7sDq8pkhmQJCkRR68jnnzz,208507
0.446,0.166,-15.492,0.0406,0.95,0.836,0.295,0.129,105.693,1BnYMsR1MIxPmMJe02Lot4,201966
0.588,0.0207,-21.139,0.0794,0.981,0.688,0.105,0.167,116.882,0kC4Rrdb4B4hAgt3PMoARe,217760
0.375,0.174,-17.577,0.0377,0.9,0.914,0.117,0.163,84.148,2uFnSCNpfxySA144y7iIxq,220009
0.404,0.176,-16.281,0.0412,0.963,0.919,0.0862,0.199,78.666,4ezJCCD1FWm2VcCH8HM3zA,214504
0.615,0.195,-17.271,0.0339,0.979,0.907,0.264,0.172,51.394,0XVdTFUuT5GpxURuICaFKK,204751
0.513,0.259,-12.537,0.0315,0.918,0.807,0.107,0.107,77.88,6pGvG8RMWD19UTLDPf5Gei,245682
0.482,0.174,-13.495,0.0352,0.966,0.824,0.107,0.162,109.162,2ExRtsNPSx1XupyPBq7Wtr,228625
0.55,0.153,-19.221,0.0339,0.914,0.711,0.107,0.0603,54.97,51JcTTZu3LG8aDEXBA4XzV,216670
0.431,0.0917,-19.223,0.0344,0.742,0.761,0.189,0.119,131.812,4sNhuHtjf2TYXIzOMUQgWX,174113
